Module Code,Semester,Name,Weightage,Type,Group or Individual,Start Date,Due Date,Level
DSA1101,2010,4 Quizzes,10,Quiz,I,,,level_1k
DSA1101,2010,Midterm,40,Exam,I,,,level_1k
DSA1101,2010,Finals,50,Exam,I,,,level_1k
DSA2101,2020,Participation and Quizzes,5,Participation,I,,,level_2k
DSA2101,2020,Quiz 1,5,Quiz,I,12-Jan-21,19-Jan-21,level_2k
DSA2101,2020,Assignment 1,2.5,Assignment,I,19-Jan-21,26-Jan-21,level_2k
DSA2101,2020,Assignment 2,2.5,Assignment,I,9-Feb-21,16-Feb-21,level_2k
DSA2101,2020,Assignment 3,2.5,Assignment,I,,23-Mar-21,level_2k
DSA2101,2020,Assignment 4,2.5,Assignment,I,,13-Apr-21,level_2k
DSA2101,2020,Take-Home Midterms,30,Assignment,I,2-Mar-21,6-Mar-21,level_2k
DSA2101,2020,Group Project,15,Project,G,,,level_2k
DSA2101,2020,Finals,40,Exam,I,26-Apr-21,26-Apr-21,level_2k
DSA2101,2110,Tutorial Submission 1,2,Assignment,I,,27-Aug-21,level_2k
DSA2101,2110,Tutorial Submission 2,2,Assignment,I,,3-Sep-21,level_2k
DSA2101,2110,Tutorial Submission 3,2,Assignment,I,,10-Sep-21,level_2k
DSA2101,2110,Tutorial Submission 4,2,Assignment,I,,17-Sep-21,level_2k
DSA2101,2110,Tutorial Submission 5,2,Assignment,I,,8-Oct-21,level_2k
DSA2101,2110,Tutorial Submission 6,2,Assignment,I,,15-Oct-21,level_2k
DSA2101,2110,Tutorial Submission 7,2,Assignment,I,,22-Oct-21,level_2k
DSA2101,2110,Tutorial Submission 8,2,Assignment,I,,29-Oct-21,level_2k
DSA2101,2110,Tutorial Submission 9,2,Assignment,I,,5-Nov-21,level_2k
DSA2101,2110,Tutorial Submission 10,2,Assignment,I,,12-Nov-21,level_2k
DSA2101,2110,DataCamp (8 total),10,Assignment,I,,,level_2k
DSA2101,2110,Survey Analysis Tutorial,10,Assignment,I,,15-Nov-21,level_2k
DSA2101,2110,Midterm,20,Exam,I,10-Oct-21,11-Oct-21,level_2k
