Days and Times,Instructor,Semester,Module Code
Mo 2:00PM-4:00PM,Baoluo Sun,2010,DSA1101
Th 2:00PM-3:00PM,Baoluo Sun,2010,DSA1101
Mo 12:00PM-2:00PM,s/o Gopal Vikneswaran,2010,DSA2101
Th 12:00PM-2:00PM,s/o Gopal Vikneswaran,2010,DSA2101
Tu 6:00PM-9:00PM,Anne Hargreaves Carol,2010,DSA3101
Mo 2:00PM-4:00PM,Siew Li Linda Tan,2010,DSA4211
Th 2:00PM-3:00PM,Siew Li Linda Tan,2010,DSA4211
We 6:00PM-9:00PM,Bindal Ishaan,2010,DSA4264
Tu 4:00PM-6:00PM,Fah Fatt Gan,2010,ST1131
Fr 4:00PM-5:00PM,Fah Fatt Gan,2010,ST1131
Tu 2:00PM-4:00PM,Yean Ling Wong,2010,ST1232
Th 2:00PM-4:00PM,Yean Ling Wong,2010,ST1232
Tu 10:00AM-12:00PM,Rongfeng Sun,2010,ST2131&MA2216
Fr 10:00AM-12:00PM,Rongfeng Sun,2010,ST2131&MA2216
We 2:00PM-4:00PM,Ching Hway Lim,2010,ST2132
Fr 2:00PM-4:00PM,Ching Hway Lim,2010,ST2132
Tu 2:00PM-4:00PM,Thi Kim Cuc Pham,2010,ST2137
Th 2:00PM-4:00PM,Thi Kim Cuc Pham,2010,ST2137
Tu 12:00PM-2:00PM,Tao Yu,2010,ST2334
Fr 12:00PM-2:00PM,Tao Yu,2010,ST2334
Mo 4:00PM-6:00PM,Ching Hway Lim,2010,ST2334
Th 4:00PM-6:00PM,Ching Hway Lim,2010,ST2334
Tu 2:00PM-4:00PM,Yiu Man Chan,2010,ST2334
Th 2:00PM-4:00PM,Yiu Man Chan,2010,ST2334
Mo 10:00AM-12:00PM,Thi Kim Cuc Pham,2010,ST3131
We 10:00AM-12:00PM,Thi Kim Cuc Pham,2010,ST3131
Tu 4:00PM-6:00PM,"Alexandre Hoang Thiery,",2010,ST3233
Fr 4:00PM-5:00PM,Alexandre Hoang Thiery,2010,ST3233
Mo 6:00PM-8:00PM,Subhroshekhar Ghosh,2010,ST3236&MA3238
Th 6:00PM-8:00PM,Subhroshekhar Ghosh,2010,ST3236&MA3238
Mo 8:00AM-10:00AM,Wei Liem Loh,2010,ST3240
We 8:00AM-9:00AM,Wei Liem Loh,2010,ST3240
Tu 2:00PM-4:00PM,Yung Cheung Anthony Kuk,2010,ST3242
Fr 2:00PM-3:00PM,Yung Cheung Anthony Kuk,2010,ST3242
Mo 12:00PM-2:00PM,David John Nott,2010,ST3248
We 12:00PM-1:00PM,David John Nott,2010,ST3248
Fr 6:00PM-9:00PM,Cheng Li,2010,ST4231
We 6:00PM-9:00PM,Jin-Ting Zhang,2010,ST4233
Tu 8:00AM-10:00AM,Anqi Zhao,2010,ST4241
Fr 8:00AM-9:00AM,Anqi Zhao,2010,ST4241
Mo 10:00AM-12:00PM,Yingcun Xia,2010,ST4245
